sent_id,original_sent_text,original_cluster_label,similarity_rank,similarity_score,similar_ex_id,similar_ex_text,similar_ex_label
5,Prerequisite: Concurrent enrollment in no more than two required ME courses; completion of all required courses.,0.0,0,0.5696614719528971,321,Prerequisites: Completion of the chemistry curriculum through the Spring semester of the sophomore year,Biomedical
9,"Security mechanisms: authentication, auditing, intrusion detection, access control, cryptography, security protocols, key distribution.",0.0,0,1.0,1287,"Security mechanisms: authentication, auditing, intrusion detection, access control, cryptography, security protocols, key distribution.",Security
13,"Team-based and faculty-guided projects directed toward the development of materials-based solutions to problems originating from student, faculty, and industrial suggestions.",0.0,0,0.62919512346849,1670,Teams produce a consumer-ready prototype of a chemical product.,Chemical Process Design
26,"Engineering ethics, design tools, financial and economic principles, project management, probabilistic and statistical techniques, and decision making.",0.0,0,0.8233106764473798,976,Design process and methodology; decision making; optimization techniques; project planning; engineering economics; probabilistic and statistical aspects of mechanical design; ethical and legal issues.,Design
30,"This course will explore the role of technology in the development of sustainable communities, locally and internationally.",0.0,0,0.5948552766449642,301,"Multi-disciplinary approach to sustainable engineering and international development, sustainable development, appropriate design and engineering, feasibility analysis, international aid, business development, philosophy and politics of technology, and ethics in engineering.",Global
42,"C E 332 C E 332 Project Development (3) The first five weeks of the course introduces concepts relating to engineering ethics, professionalism including the importance of licensure, and engineering economy.",0.0,0,0.7207561848961993,1453,This course will prepare the student for professional practice in construction engineering including information on Careers and Issues in Construction; History and Culture of the U.S. Construction Industry; Engineering Ethics and Preparation for Leadership.,Construction
49,"The topics vary from year to year, but several key topics are included each time the course is taught: ethics, environmental issues, process safety, patent law and intellectual property, graduate school, and job opportunities in various industries.",0.0,0,0.671578339861089,1325,"Students will integrate and solidify topics of professional communications, ethics, problem solving, and fundamental competencies of engineering.",Professional Skills
52,First of a two-semester capstone sequence.,1.0,0,0.7266266382701961,2021,The first course in a two-semester capstone design sequence.,Design
55,"Technical, regulatory, economic, legal, social, and ethical aspects of medical device systems engineering design.",1.0,0,0.7145297089129733,1796,"Discussion of current aspects related to biomedical engineering including on-going research directions, technical, logistical and ethical issues.",Biomedical
56,"Engineering economic principles, cost/benefit analysis, project financing and delivery, management of engineering design, business practices, ethical and professional responsibilities.",1.0,0,1.0,995,"Engineering economic principles, cost/benefit analysis, project financing and delivery, management of engineering design, business practices, ethical and professional responsibilities.",Design
70,"Students will compile a professional portfolio of communication assignments, including lab reports prepared in other CE courses.",1.0,0,0.6277353320211632,1317,"Students will develop communication skills through proposal preparation, report writing, oral presentation.",Communication
